OCEAN,SAMPLEID,LATITUDE,LONGITUDE,SIO2,TIO2,AL2O3,FE2O3,FE2O3T,FEO,FEOT,FEO_TOTAL,MGO,CAO,NA2O,K2O,P2O5,MNO
Atlantic,DSDP045-0395-018-002/085-095,22.76,-46.08,,,,,,,,,,,,,,
Atlantic,DSDP045-0395-018-002/085-095,22.76,-46.08,,,,,,,,,,,,,,
Atlantic,DSDP045-0395-018-002/085-095,22.76,-46.08,,,,,,,,,,,,,0.00,0.10
Atlantic,DSDP045-0395-018-002/085-095,22.76,-46.08,43.36,0.04,1.37,,9.36,3.10,,9.36,42.02,2.09,,,,
Atlantic,DSDP045-0395A-004-002/056-061,22.76,-46.08,,,,,,,,,,,,,,
Atlantic,DSDP045-0395A-004-002/056-061,22.76,-46.08,,,,,,,,,,,,,,
Atlantic,DSDP045-0395A-004-002/056-061,22.76,-46.08,,,,,,,,,,,,,,
Atlantic,ODP0153-0920B-012R-002/084-095,23.34,-45.02,,,,,,,,,,,,,,
Atlantic,ODP0153-0920B-012R-002/084-095,23.34,-45.02,46.69,0.02,1.64,,,,8.32,8.32,40.88,2.18,0.10,0.04,0.02,0.11
Atlantic,ODP0153-0920B-010R-003/057-068,23.34,-45.02,,,,,,,,,,,,,,
Atlantic,ODP0153-0920B-010R-003/057-068,23.34,-45.02,47.05,0.02,1.82,,,,7.62,7.62,42.81,0.47,0.03,0.05,0.01,0.13
Atlantic,ODP0153-0920D-012R-004/033-043,23.34,-45.02,,,,,,,,,,,,,,
Atlantic,ODP0153-0920D-012R-004/033-043,23.34,-45.02,46.91,0.01,1.21,,,,8.62,8.62,42.73,0.23,0.02,0.14,0.01,0.12
Atlantic,ODP0153-0920D-012R-004/112-124,23.34,-45.02,,,,,,,,,,,,,,
Atlantic,ODP0153-0920D-012R-004/112-124,23.34,-45.02,44.42,0.02,1.43,,,,8.48,8.48,44.76,0.60,0.04,0.11,0.02,0.13
Atlantic,ODP0153-0920D-016R-005/001-012,23.34,-45.02,,,,,,,,,,,,,,
Atlantic,ODP0153-0920D-016R-005/001-012,23.34,-45.02,46.32,0.01,1.52,,,,8.07,8.07,43.20,0.63,0.00,0.10,0.02,0.13
Atlantic,ODP0153-0920D-017R-004/029-041,23.34,-45.02,,,,,,,,,,,,,,
Atlantic,ODP0153-0920D-017R-004/029-041,23.34,-45.02,47.14,0.01,1.45,,,,8.14,8.14,42.50,0.49,0.00,0.12,0.02,0.13
Atlantic,DSDP082-0556-013-001/064-068,38.94,-34.69,,,,,,,,,,,,,,
Atlantic,DSDP082-0556-013-001/064-068,38.94,-34.69,39.89,0.02,0.82,,8.09,,,8.09,37.34,0.32,0.15,0.00,,0.10
Atlantic,DSDP082-0556-014-001/061-065,38.94,-34.69,,,,,,,,,,,,,,
Atlantic,DSDP082-0556-014-001/061-065,38.94,-34.69,37.10,0.02,0.75,,7.61,,,7.61,34.37,4.00,0.07,0.00,,0.10
Atlantic,DSDP082-0556-014-002/078-084,38.94,-34.69,,,,,,,,,,,,,,
